ⲥⲉⲥⲱⲧⲙ	ⲥⲉ|ⲥⲱⲧⲙ
ⲙⲡⲉⲛⲧⲁϥⲉⲓⲣⲉ	ⲙ|ⲡ|ⲉⲛⲧ|ⲁ|ϥ|ⲉⲓⲣⲉ
ⲙⲡⲉⲓϩⲱⲃ	ⲙ|ⲡⲉⲓ|ϩⲱⲃ
ⲛⲧⲉⲓϩⲉ	ⲛ|ⲧⲉⲓ|ϩⲉ
.	.
ⲉⲁⲧⲉⲧⲛⲥⲱⲟⲩϩ	ⲉ|ⲁ|ⲧⲉⲧⲛ|ⲥⲱⲟⲩϩ
ⲉϩⲟⲩⲛ	ⲉϩⲟⲩⲛ
ⲉⲛⲉⲧⲛⲉⲣⲏⲩ	ⲉ|ⲛⲉⲧⲛ|ⲉⲣⲏⲩ
ϩⲙⲡⲣⲁⲛ	ϩⲙ|ⲡ|ⲣⲁⲛ
ⲙⲡⲉⲛϫⲟⲉⲓⲥ	ⲙ|ⲡⲉⲛ|ϫⲟⲉⲓⲥ
ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ
ⲡⲉⲭⲣⲓⲥⲧⲟⲥ	ⲡⲉ|ⲭⲣⲓⲥⲧⲟⲥ
ⲙⲛⲡⲁⲡⲛⲉⲩⲙⲁ	ⲙⲛ|ⲡⲁ|ⲡⲛⲉⲩⲙⲁ
ⲙⲛⲧϭⲟⲙ	ⲙⲛ|ⲧ|ϭⲟⲙ
ⲙⲡⲉⲛϫⲟⲉⲓⲥ	ⲙ|ⲡⲉⲛ|ϫⲟⲉⲓⲥ
ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ
.	.
ⲉϯ	ⲉ|ϯ
ⲙⲡⲁⲓ	ⲙ|ⲡⲁⲓ
ⲛⲧⲉⲓⲙⲓⲛⲉ	ⲛ|ⲧⲉⲓ|ⲙⲓⲛⲉ
ⲙⲡⲥⲁⲧⲁⲛⲁⲥ	ⲙ|ⲡ|ⲥⲁⲧⲁⲛⲁⲥ
ⲉⲩⲧⲁⲕⲟ	ⲉ|ⲩ|ⲧⲁⲕⲟ
ⲛⲧⲥⲁⲣⲝ	ⲛ|ⲧ|ⲥⲁⲣⲝ
.	.
ϫⲉⲉⲣⲉⲡⲉⲡⲛⲉⲩⲙⲁ	ϫⲉ|ⲉⲣⲉ|ⲡⲉ|ⲡⲛⲉⲩⲙⲁ
ⲟⲩϫⲁⲓ	ⲟⲩϫⲁⲓ
ϩⲙⲡⲉϩⲟⲟⲩ	ϩⲙ|ⲡⲉ|ϩⲟⲟⲩ
ⲙⲡⲉⲛϫⲟⲉⲓⲥ	ⲙ|ⲡⲉⲛ|ϫⲟⲉⲓⲥ
ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ
ⲡⲉⲭⲣⲓⲥⲧⲟⲥ	ⲡⲉ|ⲭⲣⲓⲥⲧⲟⲥ
.	.
ⲛⲛⲁⲛⲟⲩⲡⲉⲧⲛϣⲟⲩϣⲟⲩ	ⲛ|ⲛⲁⲛⲟⲩ|ⲡⲉⲧⲛ|ϣⲟⲩϣⲟⲩ
ⲁⲛ	ⲁⲛ
.	.
ⲛⲧⲉⲧⲛⲥⲟⲟⲩⲛ	ⲛ|ⲧⲉⲧⲛ|ⲥⲟⲟⲩⲛ
ⲁⲛ	ⲁⲛ
ϫⲉϣⲁⲣⲉⲟⲩⲕⲟⲩⲓ	ϫⲉ|ϣⲁⲣⲉ|ⲟⲩ|ⲕⲟⲩⲓ
ⲛⲑⲁⲃ	ⲛ|ⲑⲁⲃ
ⲧⲣⲉⲡⲟⲩⲱϣⲙ	ⲧⲣⲉ|ⲡ|ⲟⲩⲱϣⲙ
ⲧⲏⲣϥ	ⲧⲏⲣ|ϥ
ϥⲓ	ϥⲓ
.	.
ϥⲓ	ϥⲓ
ⲙⲡⲓⲑⲁⲃ	ⲙ|ⲡⲓ|ⲑⲁⲃ
ⲛⲁⲥ	ⲛ|ⲁⲥ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲛϩⲏⲧⲧⲏⲩⲧⲛ	ⲛϩⲏⲧ|ⲧⲏⲩⲧⲛ
ϫⲉⲉⲧⲉⲧⲛⲉϣⲱⲡⲉ	ϫⲉ|ⲉⲧⲉⲧⲛⲉ|ϣⲱⲡⲉ
ⲛⲟⲩⲟⲩⲱϣⲙ	ⲛ|ⲟⲩ|ⲟⲩⲱϣⲙ
ⲛⲃⲣⲣⲉ	ⲛ|ⲃⲣⲣⲉ
ⲕⲁⲧⲁⲧϩⲉ	ⲕⲁⲧⲁ|ⲧ|ϩⲉ
ⲉⲛⲧⲉⲧⲛϩⲉⲛⲁⲧⲑⲁⲃ	ⲉ|ⲛⲧⲉⲧⲛ|ϩⲉⲛ|ⲁⲧⲑⲁⲃ
.	.
ⲕⲁⲓ	ⲕⲁⲓ
ⲅⲁⲣ	ⲅⲁⲣ
ⲁⲩϣⲱⲱⲧ	ⲁ|ⲩ|ϣⲱⲱⲧ
ⲙⲡⲉⲛⲡⲁⲥⲭⲁ	ⲙ|ⲡⲉⲛ|ⲡⲁⲥⲭⲁ
ϩⲁⲣⲟⲛ	ϩⲁⲣⲟ|ⲛ
ⲡⲉⲭⲣⲓⲥⲧⲟⲥ	ⲡⲉ|ⲭⲣⲓⲥⲧⲟⲥ
.	.
ϩⲱⲥⲧⲉ	ϩⲱⲥⲧⲉ
ⲙⲁⲣⲛⲣϣⲁ	ⲙⲁⲣ|ⲛ|ⲣϣⲁ
ϩⲛⲟⲩⲑⲁⲃ	ϩⲛ|ⲟⲩ|ⲑⲁⲃ
ⲁⲛ	ⲁⲛ
ⲛⲁⲥ	ⲛ|ⲁⲥ
.	.
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ
ϩⲛⲟⲩⲑⲁⲃ	ϩⲛ|ⲟⲩ|ⲑⲁⲃ
ⲁⲛ	ⲁⲛ
ⲛⲕⲁⲕⲓⲁ	ⲛ|ⲕⲁⲕⲓⲁ
ϩⲓⲡⲟⲛⲏⲣⲓⲁ	ϩⲓ|ⲡⲟⲛⲏⲣⲓⲁ
.	.
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ
ϩⲛϩⲉⲛⲁⲧⲑⲁⲃ	ϩⲛ|ϩⲉⲛ|ⲁⲧⲑⲁⲃ
ⲛⲧⲃⲃⲟ	ⲛ|ⲧⲃⲃⲟ
ϩⲓⲙⲉ	ϩⲓ|ⲙⲉ
.	.
ⲁⲓⲥϩⲁⲓ	ⲁ|ⲓ|ⲥϩⲁⲓ
ⲛⲏⲧⲛ	ⲛⲏ|ⲧⲛ
ϩⲛⲧⲉⲡⲓⲥⲧⲟⲗⲏ	ϩⲛ|ⲧ|ⲉⲡⲓⲥⲧⲟⲗⲏ
ϫⲉⲙⲡⲣⲧⲱϩ	ϫⲉ|ⲙⲡⲣ|ⲧⲱϩ
ⲙⲛⲡⲟⲣⲛⲟⲥ	ⲙⲛ|ⲡⲟⲣⲛⲟⲥ
.	.
ⲟⲩ	ⲟⲩ
ⲡⲁⲛⲧⲱⲥ	ⲡⲁⲛⲧⲱⲥ
ⲉⲓϫⲱ	ⲉ|ⲓ|ϫⲱ
ⲙⲙⲟⲥ	ⲙⲙⲟ|ⲥ
ϫⲉⲙⲡⲟⲣⲛⲟⲥ	ϫⲉ|ⲙ|ⲡⲟⲣⲛⲟⲥ
ⲙⲡⲉⲓⲕⲟⲥⲙⲟⲥ	ⲙ|ⲡⲉⲓ|ⲕⲟⲥⲙⲟⲥ
ⲏ	ⲏ
ⲙⲙⲁⲓⲧⲟⲉ	ⲙ|ⲙⲁⲓⲧⲟⲉ
ⲛϩⲟⲩⲟ	ⲛ|ϩⲟⲩⲟ
ⲏ	ⲏ
ⲛⲣⲉϥⲧⲱⲣⲡ	ⲛ|ⲣⲉϥⲧⲱⲣⲡ
ⲏ	ⲏ
ⲛⲣⲉϥϣⲙϣⲉⲉⲓⲇⲱⲗⲟⲛ	ⲛ|ⲣⲉϥϣⲙϣⲉⲉⲓⲇⲱⲗⲟⲛ
ⲉϣϫⲉⲉϩⲉ	ⲉϣϫⲉ|ⲉϩⲉ
ⲉⲓⲉ	ⲉⲓⲉ
ϣϣⲉ	ϣϣⲉ
ⲉⲣⲱⲧⲛ	ⲉⲣⲱ|ⲧⲛ
ⲉⲉⲓ	ⲉ|ⲉⲓ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ϩⲙⲡⲕⲟⲥⲙⲟⲥ	ϩⲙ|ⲡ|ⲕⲟⲥⲙⲟⲥ
.	.
ⲧⲉⲛⲟⲩ	ⲧⲉⲛⲟⲩ
ⲇⲉ	ⲇⲉ
ⲛⲧⲁⲓⲥϩⲁⲓ	ⲛⲧ|ⲁ|ⲓ|ⲥϩⲁⲓ
ⲛⲏⲧⲛ	ⲛⲏ|ⲧⲛ
ϫⲉⲙⲡⲣⲧⲱϩ	ϫⲉ|ⲙⲡⲣ|ⲧⲱϩ
ⲙⲛⲟⲩⲁ	ⲙⲛ|ⲟⲩⲁ
ⲉⲩⲙⲟⲩⲧⲉ	ⲉ|ⲩ|ⲙⲟⲩⲧⲉ
ⲉⲣⲟϥ	ⲉⲣⲟ|ϥ
ϫⲉⲟⲩⲥⲟⲛ	ϫⲉ|ⲟⲩ|ⲥⲟⲛ
ⲡⲉ	ⲡⲉ
ⲉϣⲱⲡⲉ	ⲉϣⲱⲡⲉ
ⲟⲩⲡⲟⲣⲛⲟⲥ	ⲟⲩ|ⲡⲟⲣⲛⲟⲥ
ⲡⲉ	ⲡⲉ
ⲏ	ⲏ
ⲛⲣⲉϥϣⲙϣⲉⲉⲓⲇⲱⲗⲟⲛ	ⲛ|ⲣⲉϥϣⲙϣⲉⲉⲓⲇⲱⲗⲟⲛ
ⲏ	ⲏ
ⲙⲙⲁⲓⲧⲟⲉ	ⲙ|ⲙⲁⲓⲧⲟⲉ
ⲛϩⲟⲩⲟ	ⲛ|ϩⲟⲩⲟ
ⲏ	ⲏ
ⲛⲣⲉϥⲥⲁϩⲟⲩ	ⲛ|ⲣⲉϥⲥⲁϩⲟⲩ
ⲏ	ⲏ
ⲛⲣⲉϥϯϩⲉ	ⲛ|ⲣⲉϥϯϩⲉ
ⲏ	ⲏ
ⲛⲣⲉϥⲧⲱⲣⲡ	ⲛ|ⲣⲉϥⲧⲱⲣⲡ
ⲡⲁⲓ	ⲡⲁⲓ
ⲛⲧⲉⲓⲙⲓⲛⲉ	ⲛ|ⲧⲉⲓ|ⲙⲓⲛⲉ
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ
ⲙⲡⲣⲟⲩⲱⲙ	ⲙⲡⲣ|ⲟⲩⲱⲙ
ⲛⲙⲙⲁϥ	ⲛⲙⲙⲁ|ϥ
.	.
ⲟⲩ	ⲟⲩ
ⲅⲁⲣ	ⲅⲁⲣ
ⲉⲣⲟⲓ	ⲉⲣⲟ|ⲓ
ⲡⲉ	ⲡⲉ
ⲉⲕⲣⲓⲛⲉ	ⲉ|ⲕⲣⲓⲛⲉ
ⲛⲛⲉⲧϩⲓⲃⲟⲗ	ⲛ|ⲛ|ⲉⲧ|ϩⲓⲃⲟⲗ
.	.
ⲁⲩⲱ	ⲁⲩⲱ
ⲛⲛⲉⲧϩⲓϩⲟⲩⲛ	ⲛ|ⲛ|ⲉⲧ|ϩⲓϩⲟⲩⲛ
ⲁⲛ	ⲁⲛ
.	.
ⲛⲧⲱⲧⲛ	ⲛⲧⲱⲧⲛ
ⲕⲣⲓⲛⲉ	ⲕⲣⲓⲛⲉ
ⲛⲛⲉⲧϩⲓϩⲟⲩⲛ	ⲛ|ⲛ|ⲉⲧ|ϩⲓϩⲟⲩⲛ
ⲡⲛⲟⲩⲧⲉ	ⲡ|ⲛⲟⲩⲧⲉ
ⲇⲉ	ⲇⲉ
ⲛⲁⲕⲣⲓⲛⲉ	ⲛⲁ|ⲕⲣⲓⲛⲉ
ⲛⲛⲉⲧϩⲓⲃⲟⲗ	ⲛ|ⲛ|ⲉⲧ|ϩⲓⲃⲟⲗ
ϥⲓ	ϥⲓ
ⲙⲡⲡⲟⲛⲏⲣⲟⲥ	ⲙ|ⲡ|ⲡⲟⲛⲏⲣⲟⲥ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲛϩⲏⲧⲧⲏⲩⲧⲛ	ⲛϩⲏⲧ|ⲧⲏⲩⲧⲛ
.	.
ⲟⲩⲛⲟⲩⲁ	ⲟⲩⲛ|ⲟⲩⲁ
ⲛⲁⲧⲟⲗⲙⲁ	ⲛⲁ|ⲧⲟⲗⲙⲁ
ⲉⲃⲟⲗ	ⲉⲃⲟⲗ
ⲛϩⲏⲧⲧⲏⲩⲧⲛ	ⲛϩⲏⲧ|ⲧⲏⲩⲧⲛ
ⲉⲟⲩⲛⲧϥⲟⲩϩⲱⲃ	ⲉ|ⲟⲩⲛⲧ|ϥ|ⲟⲩ|ϩⲱⲃ
ⲙⲛⲡⲉⲑⲓⲧⲟⲩⲱϥ	ⲙⲛ|ⲡ|ⲉⲧ|ϩⲓⲧⲟⲩⲱ|ϥ
ⲉϫⲓϩⲁⲡ	ⲉ|ϫⲓϩⲁⲡ
ϩⲓⲛⲣⲉϥϫⲓ	ϩⲓ|ⲛ|ⲣⲉϥϫⲓ
ⲛϭⲟⲛⲥ	ⲛ|ϭⲟⲛⲥ
ⲁⲩⲱ	ⲁⲩⲱ
ϩⲓⲛⲉⲧⲟⲩⲁⲁⲃ	ϩⲓ|ⲛ|ⲉⲧ|ⲟⲩⲁⲁⲃ
ⲁⲛ	ⲁⲛ
.	.
ⲏ	ⲏ
ⲛⲧⲉⲧⲛⲥⲟⲟⲩⲛ	ⲛ|ⲧⲉⲧⲛ|ⲥⲟⲟⲩⲛ
ⲁⲛ	ⲁⲛ
ϫⲉⲛⲉⲧⲟⲩⲁⲁⲃ	ϫⲉ|ⲛ|ⲉⲧ|ⲟⲩⲁⲁⲃ
ⲛⲉⲧⲛⲁⲕⲣⲓⲛⲉ	ⲛ|ⲉⲧ|ⲛⲁ|ⲕⲣⲓⲛⲉ
ⲙⲡⲕⲟⲥⲙⲟⲥ	ⲙ|ⲡ|ⲕⲟⲥⲙⲟⲥ
.	.
ⲁⲩⲱ	ⲁⲩⲱ
ⲉϣϫⲉⲉⲩⲛⲁⲕⲣⲓⲛⲉ	ⲉϣϫⲉ|ⲉ|ⲩ|ⲛⲁ|ⲕⲣⲓⲛⲉ
ⲙⲡⲕⲟⲥⲙⲟⲥ	ⲙ|ⲡ|ⲕⲟⲥⲙⲟⲥ
ϩⲓⲱⲧⲧⲏⲩⲧⲛ	ϩⲓⲱⲧ|ⲧⲏⲩⲧⲛ
ⲛⲧⲉⲧⲛⲙⲡϣⲁ	ⲛ|ⲧⲉⲧⲛ|ⲙⲡϣⲁ
ⲁⲛ	ⲁⲛ
ⲛϩⲉⲛⲕⲟⲩⲓ	ⲛ|ϩⲉⲛ|ⲕⲟⲩⲓ
ⲙⲙⲁ	ⲙ|ⲙⲁ
ⲛϯϩⲁⲡ	ⲛ|ϯϩⲁⲡ
.	.
ⲛⲧⲉⲧⲛⲥⲟⲟⲩⲛ	ⲛ|ⲧⲉⲧⲛ|ⲥⲟⲟⲩⲛ
ⲁⲛ	ⲁⲛ
ϫⲉⲧⲛⲛⲁⲕⲣⲓⲛⲉ	ϫⲉ|ⲧⲛ|ⲛⲁ|ⲕⲣⲓⲛⲉ
ⲛϩⲉⲛⲁⲅⲅⲉⲗⲟⲥ	ⲛ|ϩⲉⲛ|ⲁⲅⲅⲉⲗⲟⲥ
ⲉⲙⲡⲁⲧⲛⲡⲱϩ	ⲉ|ⲙⲡⲁⲧ|ⲛ|ⲡⲱϩ
ⲉⲛⲁⲡⲕⲟⲥⲙⲟⲥ	ⲉ|ⲛⲁ|ⲡ|ⲕⲟⲥⲙⲟⲥ
.	.
ⲉϣⲱⲡⲉϭⲉ	ⲉϣⲱⲡⲉ|ϭⲉ
ⲟⲩⲛⲧⲏⲧⲛ	ⲟⲩⲛⲧⲏ|ⲧⲛ
ⲙⲙⲁⲩ	ⲙⲙⲁⲩ
ⲛϩⲉⲛϩⲱⲃ	ⲛ|ϩⲉⲛ|ϩⲱⲃ
ⲛⲧⲉⲡⲃⲓⲟⲥ	ⲛⲧⲉ|ⲡ|ⲃⲓⲟⲥ
ⲛⲉⲧⲥⲟϣϥ	ⲛ|ⲉⲧ|ⲥⲟϣϥ
ϩⲛⲧⲉⲕⲕⲗⲏⲥⲓⲁ	ϩⲛ|ⲧ|ⲉⲕⲕⲗⲏⲥⲓⲁ
ⲛⲁⲓ	ⲛⲁⲓ
ⲙⲁⲑⲙⲥⲟⲟⲩ	ⲙⲁⲑⲙⲥⲟ|ⲟⲩ
.	.
ⲉⲓϫⲱ	ⲉ|ⲓ|ϫⲱ
ⲙⲙⲟⲥ	ⲙⲙⲟ|ⲥ
ⲉⲩϣⲓⲡⲉ	ⲉ|ⲩ|ϣⲓⲡⲉ
ⲛⲏⲧⲛ	ⲛⲏ|ⲧⲛ
.	.
ⲧⲁⲓ	ⲧⲁⲓ
ⲧⲉ	ⲧⲉ
ⲧϩⲉ	ⲧ|ϩⲉ
ⲙⲛⲗⲁⲁⲩ	ⲙⲛ|ⲗⲁⲁⲩ
ⲛⲥⲟⲫⲟⲥ	ⲛ|ⲥⲟⲫⲟⲥ
ⲛϩⲏⲧⲧⲏⲩⲧⲛ	ⲛϩⲏⲧ|ⲧⲏⲩⲧⲛ
ⲡⲁⲓ	ⲡⲁⲓ
ⲉϥⲛⲁϣϭⲙϭⲟⲙ	ⲉ|ϥ|ⲛⲁ|ϣ|ϭⲙϭⲟⲙ
ⲉⲇⲓⲁⲕⲣⲓⲛⲉ	ⲉ|ⲇⲓⲁⲕⲣⲓⲛⲉ
ⲛⲧⲙⲏⲧⲉ	ⲛ|ⲧ|ⲙⲏⲧⲉ
ⲙⲡⲉϥⲥⲟⲛ	ⲙ|ⲡⲉϥ|ⲥⲟⲛ
.	.
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ
ⲟⲩⲛⲟⲩⲥⲟⲛ	ⲟⲩⲛ|ⲟⲩ|ⲥⲟⲛ
ϫⲓϩⲁⲡ	ϫⲓϩⲁⲡ
ⲙⲛⲡⲉϥⲥⲟⲛ	ⲙⲛ|ⲡⲉϥ|ⲥⲟⲛ
.	.
ⲁⲩⲱ	ⲁⲩⲱ
ⲡⲁⲓ	ⲡⲁⲓ
ϩⲓⲛⲁⲡⲓⲥⲧⲟⲥ	ϩⲓ|ⲛ|ⲁⲡⲓⲥⲧⲟⲥ
.	.
ⲏⲇⲏ	ⲏⲇⲏ
ⲙⲉⲛ	ⲙⲉⲛ
ϩⲟⲗⲱⲥ	ϩⲟⲗⲱⲥ
ⲣⲱ	ⲣⲱ
ⲟⲩϣⲱⲱⲧ	ⲟⲩ|ϣⲱⲱⲧ
ⲛⲏⲧⲛ	ⲛⲏ|ⲧⲛ
ⲡⲉ	ⲡⲉ
ϫⲉⲟⲩⲛⲧⲏⲧⲛϩⲁⲡ	ϫⲉ|ⲟⲩⲛⲧⲏ|ⲧⲛ|ϩⲁⲡ
ⲙⲛⲛⲉⲧⲛⲉⲣⲏⲩ	ⲙⲛ|ⲛⲉⲧⲛ|ⲉⲣⲏⲩ
.	.
ⲉⲧⲃⲉⲟⲩ	ⲉⲧⲃⲉ|ⲟⲩ
ⲣⲱ	ⲣⲱ
ⲥⲉⲛⲁϫⲓⲧⲏⲩⲧⲛ	ⲥⲉ|ⲛⲁ|ϫⲓ|ⲧⲏⲩⲧⲛ
ⲁⲛ	ⲁⲛ
ⲛϭⲟⲛⲥ	ⲛ|ϭⲟⲛⲥ
.	.
ⲉⲧⲃⲉⲟⲩ	ⲉⲧⲃⲉ|ⲟⲩ
ⲣⲱ	ⲣⲱ
ⲥⲉⲛⲁϥⲉϭⲧⲏⲩⲧⲛ	ⲥⲉ|ⲛⲁ|ϥⲉϭ|ⲧⲏⲩⲧⲛ
ⲁⲛ	ⲁⲛ
.	.
ⲁⲗⲗⲁ	ⲁⲗⲗⲁ
ⲛⲧⲱⲧⲛ	ⲛⲧⲱⲧⲛ
ⲛⲉⲧϫⲓ	ⲛ|ⲉⲧ|ϫⲓ
ⲛϭⲟⲛⲥ	ⲛ|ϭⲟⲛⲥ
.	.
ⲁⲩⲱ	ⲁⲩⲱ
ⲉⲧϥⲱϭⲉ	ⲉⲧ|ϥⲱϭⲉ
ⲁⲩⲱ	ⲁⲩⲱ
ⲡⲁⲓ	ⲡⲁⲓ
ⲛⲛⲉⲧⲛⲥⲛⲏⲩ	ⲛ|ⲛⲉⲧⲛ|ⲥⲛⲏⲩ
.	.
ⲏ	ⲏ
ⲛⲧⲉⲧⲛⲥⲟⲟⲩⲛ	ⲛ|ⲧⲉⲧⲛ|ⲥⲟⲟⲩⲛ
ⲁⲛ	ⲁⲛ
ϫⲉⲛⲣⲉϥϫⲓ	ϫⲉ|ⲛ|ⲣⲉϥϫⲓ
ⲛϭⲟⲛⲥ	ⲛ|ϭⲟⲛⲥ
ⲛⲁⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ	ⲛⲁ|ⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ
ⲁⲛ	ⲁⲛ
ⲛⲧⲙⲛⲧⲣⲣⲟ	ⲛ|ⲧ|ⲙⲛⲧⲣⲣⲟ
ⲙⲡⲛⲟⲩⲧⲉ	ⲙ|ⲡ|ⲛⲟⲩⲧⲉ
ⲙⲡⲣⲡⲗⲁⲛⲁ	ⲙⲡⲣ|ⲡⲗⲁⲛⲁ
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ
ⲙⲛⲡⲟⲣⲛⲟⲥ	ⲙⲛ|ⲡⲟⲣⲛⲟⲥ
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ
ⲙⲛⲣⲉϥϣⲙϣⲉⲉⲓⲇⲱⲗⲟⲛ	ⲙⲛ|ⲣⲉϥϣⲙϣⲉⲉⲓⲇⲱⲗⲟⲛ
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ
ⲙⲛⲛⲟⲉⲓⲕ	ⲙⲛ|ⲛⲟⲉⲓⲕ
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ
ⲙⲛⲙⲁⲗⲁⲕⲟⲥ	ⲙⲛ|ⲙⲁⲗⲁⲕⲟⲥ
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ
ⲙⲛⲣⲉϥⲛⲕⲟⲧⲕ	ⲙⲛ|ⲣⲉϥⲛⲕⲟⲧⲕ
ⲙⲛϩⲟⲟⲩⲧ	ⲙⲛ|ϩⲟⲟⲩⲧ
.	.
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ
ⲙⲛⲣⲉϥϩⲱϥⲧ	ⲙⲛ|ⲣⲉϥϩⲱϥⲧ
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ
ⲙⲛⲙⲁⲓⲧⲟⲉ	ⲙⲛ|ⲙⲁⲓⲧⲟⲉ
ⲛϩⲟⲩⲟ	ⲛ|ϩⲟⲩⲟ
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ
ⲙⲛⲣⲉϥϯϩⲉ	ⲙⲛ|ⲣⲉϥϯϩⲉ
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ
ⲙⲛⲣⲉϥⲥⲁϩⲟⲩ	ⲙⲛ|ⲣⲉϥⲥⲁϩⲟⲩ
ⲟⲩⲇⲉ	ⲟⲩⲇⲉ
ⲙⲛⲣⲉϥⲧⲱⲣⲡ	ⲙⲛ|ⲣⲉϥⲧⲱⲣⲡ
ⲛⲁⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ	ⲛⲁ|ⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ
ⲛⲧⲙⲛⲧⲣⲣⲟ	ⲛ|ⲧ|ⲙⲛⲧⲣⲣⲟ
ⲙⲡⲛⲟⲩⲧⲉ	ⲙ|ⲡ|ⲛⲟⲩⲧⲉ
.	.
